restaurant,address,zip_code,geo_coordinates_search,lon,lat,neighborhood,match_type,distance_m
La Unica Bakery and Cafe,454 Central Ave,7307,"40.75019402,-74.04637226",-74.04637226,40.75019402,Mount Pleasant,within,0.0
YuYa,64 Sip Ave,7306,"40.73073288,-74.06323234",-74.06323234,40.73073288,Journal Square,within,0.0
ModCup,25 Senate Place,7306,"40.73755417,-74.06735886",-74.06735886,40.73755417,West End,within,0.0
Paulie's Brickhouse,264 Central Ave,7307,"40.74377315,-74.05077418",-74.05077418,40.74377315,Hudson City,within,0.0
Razza,275 Grove St,7302,"40.7176551,-74.04414644",-74.04414644,40.7176551,Van Vorst Park,within,0.0
Tidal Poke Co,337 Grove St,7302,"40.72041636,-74.04291794",-74.04291794,40.72041636,Harsimus Cove,within,0.0
Bang Cookies,128 Newark Ave,7302,"40.72009982,-74.04297073",-74.04297073,40.72009982,Harsimus Cove,within,0.0
Bucket & Bay / Pie 66,150 Bay St,7302,"40.72076169,-74.03975364",-74.03975364,40.72076169,Powerhouse,within,0.0
Heavenly Chicken and Ribs,555 Tonnelle Ave,7307,"40.74993646,-74.06026819",-74.06026819,40.74993646,Western Slope,within,0.0
Helen's Pizza,183 Newark Ave,7302,"40.72123993,-74.04559664",-74.04559664,40.72123993,Van Vorst Park,within,0.0
Little Italy Pizzeria & Deli,762 West Side Ave,7306,"40.72640674,-74.07668961",-74.07668961,40.72640674,St. Pete,within,0.0
The Belgian Plate by Waffle It & Co.,210 Hudson St,7302,"40.71159509,-74.06479057",-74.06479057,40.71159509,Lafayette,within,0.0
Vinnie's III Pizzeria,431 Danforth Ave,7305,"40.70459842,-74.09834739",-74.09834739,40.70459842,Bayside,within,0.0
Astor Bar & Grill,725 Montgomery St,7302,"40.72503663,-74.0677802",-74.0677802,40.72503663,Bergen Hill,within,0.0
Bang Cookies,1183 Summit Ave,7306,"40.75572009,-74.04585785",-74.04585785,40.75572009,Hudson City,within,0.0
City Cafe,2800 John F Kennedy Blvd,7302,"40.7314875,-74.06746878",-74.06746878,40.7314875,Journal Square,within,0.0
Health Bar Cafe,189 Brunswick St,7302,"40.72550059,-74.05061113",-74.05061113,40.72550059,Village,within,0.0
Light Rail Cafe,237 Randolph Ave,7301,"40.711462,-74.07088508",-74.07088508,40.711462,Jackson Hill,within,0.0
Ozu Foods,106 Hutton St,7307,"40.74487432,-74.05050027",-74.05050027,40.74487432,Hudson City,within,0.0
Mordi's Sandwich Shop,320 Communipaw Ave,7304,"40.710503,-74.060994",-74.060994,40.710503,Lafayette,within,0.0
Park Tavern,575 West Side Ave,7304,"40.72058591,-74.08169984",-74.08169984,40.72058591,West Side,within,0.0
Subway,366 West Side Ave,7305,"40.71432433,-74.08837351",-74.08837351,40.71432433,State College,within,0.0
Sugartown Bakery & Cafe,437 Jersey Ave,7302,"40.71735942,-74.04859638",-74.04859638,40.71735942,Van Vorst Park,within,0.0
Baldwin Pizzeria,457 Baldwin Ave,7305,"40.73649999,-74.05167222",-74.05167222,40.73649999,Waverly,within,0.0
Cocoa Bakery,475 Central Ave,7302,"40.7508296,-74.04615739",-74.04615739,40.7508296,Hudson City,within,0.0
Harrys Daughter,339 Communipaw Ave,7304,"40.71085619,-74.06203318",-74.06203318,40.71085619,Lafayette,within,0.0
Mauricioâ€™s Restaurant,209 Ocean Ave,7305,"40.69521011,-74.09128227",-74.09128227,40.69521011,South Greenville,within,0.0
3 Guys From Italy,2854 John F Kennedy Blvd,7306,"40.73166576,-74.06563231",-74.06563231,40.73166576,Journal Square,within,0.0
Palm Breeze Caribbean Kitchen,114 Mallory Ave,7304,"40.7180481,-74.08937765",-74.08937765,40.7180481,West Side,within,0.0
Treehouse Coffee Shop,434A West Side Ave,7304,"40.7160311,-74.08611613",-74.08611613,40.7160311,West Side,within,0.0
Miss America Dinner,322 West Side Ave,7305,"40.71338274,-74.08957188",-74.08957188,40.71338274,State College,within,0.0
Subway,1212 Summit Ave,7307,"40.75624259,-74.04527306",-74.04527306,40.75624259,Hudson City,within,0.0
Sunisland BBQ & Jerk,14A Rose Ave,7305,"40.69828474,-74.09194447",-74.09194447,40.69828474,Jackson Hill,within,0.0
VaibhaV Indian Restaurant,737 Newark Ave,7306,"40.73514199,-74.06221165",-74.06221165,40.73514199,Journal Square,within,0.0
Amiya Restaurant,101 Hudson St,7302,"40.71565936,-74.03427343",-74.03427343,40.71565936,Exchange Place,within,0.0
Cafe Peanut,586 Newark Ave,7302,"40.73228557,-74.05711901",-74.05711901,40.73228557,St.Joes,within,0.0
Chef of India,324 Central Ave,7307,"40.74604268,-74.04918785",-74.04918785,40.74604268,Hudson City,within,0.0
Deccan Spice,771 Newark Ave,7306,"40.73531614,-74.06359574",-74.06359574,40.73531614,Journal Square,within,0.0
Jimmy John's Gourmet Sandwiches,110 First St,7302,"40.72131004,-74.03812629",-74.03812629,40.72131004,Powerhouse,within,0.0
